0020 -> 8359 :   -> 荙
3044 -> 42D5 : い -> 䋕
3045 -> 5692 : ぅ -> 嚒
3046 -> 9593 : う -> 間
3047 -> 8D50 : ぇ -> 赐
3048 -> 442A : え -> 䐪
3049 -> 7AD9 : ぉ -> 站
304A -> 6D05 : お -> 洅
304B -> 86E2 : か -> 蛢
304C -> 30AE : が -> ギ
304D -> 3E86 : き -> 㺆
304E -> 6DB7 : ぎ -> 涷
304F -> 942A : く -> 鐪
3050 -> 35BF : ぐ -> 㖿
3051 -> 42FF : け -> 䋿
3052 -> 45C1 : げ -> 䗁
3053 -> 8C7D : こ -> 豽
3054 -> 4ADB : ご -> 䫛
3055 -> 87EF : さ -> 蟯
3056 -> 9631 : ざ -> 阱
3057 -> 8AD8 : し -> 諘
3058 -> 34B6 : じ -> 㒶
3059 -> 68D5 : す -> 棕
305A -> 5265 : ず -> 剥
305B -> 6F32 : せ -> 漲
305C -> 4C12 : ぜ -> 䰒
305D -> 9AC2 : そ -> 髂
305E -> 8126 : ぞ -> 脦
305F -> 78E8 : た -> 磨
3060 -> 6D6E : だ -> 浮
3061 -> 9805 : ち -> 項
3062 -> 9FDA : ぢ -> 鿚
3063 -> 99D1 : っ -> 駑
3064 -> 2567 : つ -> ╧
3065 -> 8BDE : づ -> 诞
3066 -> 3E95 : て -> 㺕
3067 -> 6A39 : で -> 樹
3068 -> 76D8 : と -> 盘
3069 -> 9B85 : ど -> 鮅
306A -> 519A : な -> 冚
306B -> 5357 : に -> 南
306C -> 306F : ぬ -> は
306D -> 83D5 : ね -> 菕
306E -> 4E01 : の -> 丁
306F -> 5F17 : は -> 弗
3070 -> 611A : ば -> 愚
3071 -> 37AA : ぱ -> 㞪
3072 -> 3B2C : ひ -> 㬬
3073 -> 981C : び -> 頜
3074 -> 2FF7 : ぴ -> ⿷
3075 -> 8F3C : ふ -> 輼
3076 -> 853B : ぶ -> 蔻
3077 -> 6945 : ぷ -> 楅
3078 -> 9A2D : へ -> 騭
3079 -> 66E3 : べ -> 曣
307A -> 5DBE : ぺ -> 嶾
307B -> 9BA4 : ほ -> 鮤
307C -> 61FC : ぼ -> 懼
307D -> 541C : ぽ -> 吜
307E -> 8264 : ま -> 艤
307F -> 4CF0 : み -> 䳰
3080 -> 4751 : む -> 䝑
3081 -> 73DC : め -> 珜
3082 -> 74C3 : も -> 瓃
3083 -> 4167 : ゃ -> 䅧
3084 -> 4129 : や -> 䄩
3085 -> 5E8D : ゅ -> 庍
3086 -> 6806 : ゆ -> 栆
3087 -> 59F7 : ょ -> 姷
3088 -> 8620 : よ -> 蘠
3089 -> 98A2 : ら -> 颢
308A -> 4AF1 : り -> 䫱
308B -> 7DCC : る -> 緌
308C -> 67DC : れ -> 柜
308D -> 5877 : ろ -> 塷
308E -> 40AF : ゎ -> 䂯
308F -> 745B : わ -> 瑛
3090 -> 595E : ゐ -> 奞
3091 -> 78A9 : ゑ -> 碩
3092 -> 7622 : を -> 瘢
3093 -> 955E : ん -> 镞
309B -> 51B4 : ゛ -> 冴
309C -> 3C4A : ゜ -> 㱊
309D -> 7F18 : ゝ -> 缘
309E -> 6AAB : ゞ -> 檫
30A1 -> 53D7 : ァ -> 受
30A2 -> 5C3A : ア -> 尺
30A3 -> 3791 : ィ -> 㞑
30A4 -> 593D : イ -> 夽
30A5 -> 304E : ゥ -> ぎ
30A6 -> 3A14 : ウ -> 㨔
30A7 -> 6897 : ェ -> 梗
30A8 -> 8C67 : エ -> 豧
30A9 -> 8FBD : ォ -> 辽
30AA -> 72CB : オ -> 狋
30AB -> 9773 : カ -> 靳
30AC -> 9DEF : ガ -> 鷯
30AD -> 80BD : キ -> 肽
30AE -> 75DD : ギ -> 痝
30AF -> 98ED : ク -> 飭
30B0 -> 9B26 : グ -> 鬦
30B1 -> 7193 : ケ -> 熓
30B2 -> 9754 : ゲ -> 靔
30B3 -> 5F53 : コ -> 当
30B4 -> 49B3 : ゴ -> 䦳
30B5 -> 3580 : サ -> 㖀
30B6 -> 565D : ザ -> 噝
30B7 -> 02C6 : シ -> ˆ
30B8 -> 9B04 : ジ -> 鬄
30B9 -> 7563 : ス -> 畣
30BA -> 4786 : ズ -> 䞆
30BB -> 3093 : セ -> ん
30BC -> 5922 : ゼ -> 夢
30BD -> 7A10 : ソ -> 稐
30BE -> 98C4 : ゾ -> 飄
30BF -> 5DD6 : タ -> 巖
30C0 -> 9287 : ダ -> 銇
30C1 -> 424D : チ -> 䉍
30C2 -> 948E : ヂ -> 钎
30C3 -> 65BE : ッ -> 斾
30C4 -> 5704 : ツ -> 圄
30C5 -> 5C46 : ヅ -> 屆
30C6 -> 7F63 : テ -> 罣
30C7 -> 5ED4 : デ -> 廔
30C8 -> 3FDC : ト -> 㿜
30C9 -> 861F : ド -> 蘟
30CA -> 631A : ナ -> 挚
30CB -> 4BBE : ニ -> 䮾
30CC -> 7980 : ヌ -> 禀
30CD -> 96A8 : ネ -> 隨
30CE -> 40C2 : ノ -> 䃂
30CF -> 7D4C : ハ -> 経
30D0 -> 8DF7 : バ -> 跷
30D1 -> 9D17 : パ -> 鴗
30D2 -> 9146 : ヒ -> 酆
30D3 -> 712E : ビ -> 焮
30D4 -> 4E14 : ピ -> 且
30D5 -> 716C : フ -> 煬
30D6 -> 857F : ブ -> 蕿
30D7 -> 3954 : プ -> 㥔
30D8 -> 5045 : ヘ -> 偅
30D9 -> 43C0 : ベ -> 䏀
30DA -> 5978 : ペ -> 奸
30DB -> 66FF : ホ -> 替
30DC -> 5849 : ボ -> 塉
30DD -> 740F : ポ -> 琏
30DE -> 5140 : マ -> 兀
30DF -> 6BA0 : ミ -> 殠
30E0 -> 3D26 : ム -> 㴦
30E1 -> 9359 : メ -> 鍙
30E2 -> 98BE : モ -> 颾
30E3 -> 3D4C : ャ -> 㵌
30E4 -> 2529 : ヤ -> ┩
30E5 -> 628A : ュ -> 把
30E6 -> 4FAE : ユ -> 侮
30E7 -> 5C77 : ョ -> 屷
30E8 -> 9A31 : ヨ -> 騱
30E9 -> 42B4 : ラ -> 䊴
30EA -> 7A23 : リ -> 稣
30EB -> 5284 : ル -> 劄
30EC -> 6BE1 : レ -> 毡
30ED -> 4B96 : ロ -> 䮖
30EE -> 61B0 : ヮ -> 憰
30EF -> 6385 : ワ -> 掅
30F0 -> 88E2 : ヰ -> 裢
30F1 -> 7CF5 : ヱ -> 糵
30F2 -> 76CE : ヲ -> 盎
30F3 -> 6123 : ン -> 愣
30F4 -> 55BA : ヴ -> 喺
30F5 -> 6616 : ヵ -> 昖
30F6 -> 256A : ヶ -> ╪
30FC -> 5A02 : ー -> 娂
30FD -> 557A : ヽ -> 啺
30FE -> 5FB4 : ヾ -> 徴
3105 -> 43E4 : ㄅ -> 䏤
3106 -> 87B0 : ㄆ -> 螰
3107 -> 4F34 : ㄇ -> 伴
3108 -> 7CDB : ㄈ -> 糛
3109 -> 8842 : ㄉ -> 衂
310A -> 79BD : ㄊ -> 禽
310B -> 38B3 : ㄋ -> 㢳
310C -> 7F11 : ㄌ -> 缑
310D -> 8D14 : ㄍ -> 贔
310E -> 6AB9 : ㄎ -> 檹
310F -> 9ADB : ㄏ -> 髛
3110 -> 40D6 : ㄐ -> 䃖
3111 -> 82D9 : ㄑ -> 苙
3112 -> 3E07 : ㄒ -> 㸇
3113 -> 612C : ㄓ -> 愬
3114 -> 5514 : ㄔ -> 唔
3115 -> 5E96 : ㄕ -> 庖
3116 -> 7315 : ㄖ -> 猕
3117 -> 9ADE : ㄗ -> 髞
3118 -> 709E : ㄘ -> 炞
3119 -> 7256 : ㄙ -> 牖
311A -> 6E67 : ㄚ -> 湧
311B -> 6B35 : ㄛ -> 欵
311C -> 495A : ㄜ -> 䥚
311D -> 8086 : ㄝ -> 肆
311E -> 78FD : ㄞ -> 磽
311F -> 3D08 : ㄟ -> 㴈
3120 -> 3ABF : ㄠ -> 㪿
3121 -> 7A3B : ㄡ -> 稻
3122 -> 54F6 : ㄢ -> 哶
3123 -> 9CF6 : ㄣ -> 鳶
3124 -> 5FC1 : ㄤ -> 忁
3125 -> 6425 : ㄥ -> 搥
3126 -> 4FEF : ㄦ -> 俯
3127 -> 9D40 : ㄧ -> 鵀
3128 -> 46D9 : ㄨ -> 䛙
3129 -> 546D : ㄩ -> 呭
31C0 -> 6A46 : ㇀ -> 橆
31C1 -> 8809 : ㇁ -> 蠉
31C2 -> 41B4 : ㇂ -> 䆴
31C3 -> 732D : ㇃ -> 猭
31C4 -> 57CF : ㇄ -> 埏
31C5 -> 5CE2 : ㇅ -> 峢
31C6 -> 539D : ㇆ -> 厝
31C7 -> 3E2C : ㇇ -> 㸬
31C8 -> 62E1 : ㇈ -> 拡
31C9 -> 98FE : ㇉ -> 飾
31CA -> 8475 : ㇊ -> 葵
31CB -> 9F6D : ㇋ -> 齭
31CC -> 2FFF : ㇌ -> ⿿
31CD -> 6A2B : ㇍ -> 樫
31CE -> 87CE : ㇎ -> 蟎
31CF -> 8434 : ㇏ -> 萴
31D0 -> 8B7B : ㇐ -> 譻
31D1 -> 3B97 : ㇑ -> 㮗
31D2 -> 61FE : ㇒ -> 懾
31D3 -> FE69 : ㇓ -> ﹩
31D4 -> 6AF3 : ㇔ -> 櫳
31D5 -> 51EE : ㇕ -> 凮
31D6 -> 42E1 : ㇖ -> 䋡
31D7 -> 7AF3 : ㇗ -> 竳
31D8 -> 81A7 : ㇘ -> 膧
31D9 -> 4396 : ㇙ -> 䎖
31DA -> 8218 : ㇚ -> 舘
31DB -> 8D17 : ㇛ -> 贗
31DC -> 78CA : ㇜ -> 磊
31DD -> 3FC3 : ㇝ -> 㿃
31DE -> 951C : ㇞ -> 锜
31DF -> 8153 : ㇟ -> 腓
31E0 -> 5A85 : ㇠ -> 媅
31E1 -> 6097 : ㇡ -> 悗
31E2 -> 3BCB : ㇢ -> 㯋
31E3 -> 9807 : ㇣ -> 頇
31E4 -> 5AA5 : ㇤ -> 媥
31E5 -> 356A : ㇥ -> 㕪
31EF -> 60F3 : ㇯ -> 想
3220 -> 4BA6 : ㈠ -> 䮦
3221 -> 7C7F : ㈡ -> 籿
3222 -> 7065 : ㈢ -> 灥
3223 -> 7D27 : ㈣ -> 紧
3224 -> 6D3A : ㈤ -> 洺
3225 -> 00F0 : ㈥ -> ð
3226 -> 3BC0 : ㈦ -> 㯀
3227 -> 5EC6 : ㈧ -> 廆
3228 -> 4D6D : ㈨ -> 䵭
3229 -> 35DC : ㈩ -> 㗜
3231 -> 7F40 : ㈱ -> 罀
32A3 -> 5D67 : ㊣ -> 嵧
338E -> 987D : ㎎ -> 顽
338F -> 6AAF : ㎏ -> 檯
339C -> 779F : ㎜ -> 瞟
339D -> 822B : ㎝ -> 舫
339E -> 797C : ㎞ -> 祼
33A1 -> 5FB5 : ㎡ -> 徵
33C4 -> 35B7 : ㏄ -> 㖷
33CE -> 6DC3 : ㏎ -> 淃
33D1 -> 5805 : ㏑ -> 堅
33D2 -> 6CBF : ㏒ -> 沿
33D5 -> 4BC2 : ㏕ -> 䯂
3400 -> 62DE : 㐀 -> 拞
3401 -> 7FC0 : 㐁 -> 翀
3402 -> 5D79 : 㐂 -> 嵹
3403 -> 57CA : 㐃 -> 埊
3404 -> 7823 : 㐄 -> 砣
3405 -> 0426 : 㐅 -> Ц
3406 -> 548E : 㐆 -> 咎
3407 -> 9C1C : 㐇 -> 鰜
3408 -> 829E : 㐈 -> 芞
3409 -> 4378 : 㐉 -> 䍸
340A -> 70EB : 㐊 -> 烫
340B -> 50DB : 㐋 -> 僛
340C -> 5EB3 : 㐌 -> 庳
340D -> 9042 : 㐍 -> 遂
340E -> 5CC4 : 㐎 -> 峄
340F -> 3D55 : 㐏 -> 㵕
3410 -> 9706 : 㐐 -> 霆
3411 -> 71F4 : 㐑 -> 燴
3412 -> 3751 : 㐒 -> 㝑
3413 -> 6CC8 : 㐓 -> 泈
3414 -> 7479 : 㐔 -> 瑹
3415 -> 70F2 : 㐕 -> 烲
3416 -> 6A40 : 㐖 -> 橀
3417 -> 65B5 : 㐗 -> 斵
3418 -> 81F0 : 㐘 -> 臰
3419 -> 494C : 㐙 -> 䥌
341A -> 855E : 㐚 -> 蕞
341B -> 25E2 : 㐛 -> ◢
341C -> 9783 : 㐜 -> 鞃
341D -> 908B : 㐝 -> 邋
341E -> 8FCB : 㐞 -> 迋
341F -> 427A : 㐟 -> 䉺
3420 -> 9C12 : 㐠 -> 鰒
3421 -> 7FEC : 㐡 -> 翬
3422 -> 8A3F : 㐢 -> 訿
3423 -> 811C : 㐣 -> 脜
3424 -> 4FE8 : 㐤 -> 俨
3425 -> 46F7 : 㐥 -> 䛷
3426 -> 4C62 : 㐦 -> 䱢
3427 -> 30D0 : 㐧 -> バ
3428 -> 715B : 㐨 -> 煛
3429 -> 707F : 㐩 -> 灿
342A -> 8BDC : 㐪 -> 诜
342B -> 8F03 : 㐫 -> 較
342C -> 7143 : 㐬 -> 煃
342D -> 42C2 : 㐭 -> 䋂
342E -> 7C09 : 㐮 -> 簉
342F -> 7402 : 㐯 -> 琂
3430 -> 824D : 㐰 -> 艍
3431 -> 9A3A : 㐱 -> 騺
3432 -> 20AC : 㐲 -> €
3433 -> 660F : 㐳 -> 昏
3434 -> 6172 : 㐴 -> 慲
3435 -> 2640 : 㐵 -> ♀
3436 -> 9836 : 㐶 -> 頶
3437 -> 5049 : 㐷 -> 偉
3438 -> 9D9E : 㐸 -> 鶞
3439 -> 3EC2 : 㐹 -> 㻂
343A -> 6D00 : 㐺 -> 洀
343B -> 8115 : 㐻 -> 脕
343C -> 4412 : 㐼 -> 䐒
343D -> 8768 : 㐽 -> 蝨
343E -> 5547 : 㐾 -> 啇
343F -> 8A70 : 㐿 -> 詰
3440 -> 551B : 㑀 -> 唛
3441 -> 8C04 : 㑁 -> 谄
3442 -> 36E0 : 㑂 -> 㛠
3443 -> 8276 : 㑃 -> 艶
3444 -> 80E0 : 㑄 -> 胠
3445 -> 4323 : 㑅 -> 䌣
3446 -> FA29 : 㑆 -> 﨩
3447 -> 61EF : 㑇 -> 懯
3448 -> 8E8F : 㑈 -> 躏
3449 -> 4566 : 㑉 -> 䕦
344A -> 46F5 : 㑊 -> 䛵
344B -> 57F3 : 㑋 -> 埳
344C -> 34CA : 㑌 -> 㓊
344D -> 00B7 : 㑍 -> ·
344E -> 849A : 㑎 -> 蒚
344F -> 8E00 : 㑏 -> 踀
3450 -> 2E97 : 㑐 -> ⺗
3451 -> 5025 : 㑑 -> 倥
3452 -> 3C60 : 㑒 -> 㱠
3453 -> 8253 : 㑓 -> 艓
3454 -> 56AF : 㑔 -> 嚯
3455 -> 0034 : 㑕 -> 4
3456 -> 695A : 㑖 -> 楚
3457 -> 91D7 : 㑗 -> 釗
3458 -> 810E : 㑘 -> 脎
3459 -> 9FD1 : 㑙 -> 鿑
345A -> 84ED : 㑚 -> 蓭
345B -> 6BF4 : 㑛 -> 毴
345C -> 820B : 㑜 -> 舋
345D -> 3CDD : 㑝 -> 㳝
345E -> 4A03 : 㑞 -> 䨃
345F -> 44D4 : 㑟 -> 䓔
3460 -> 8A8D : 㑠 -> 認
3461 -> 94D4 : 㑡 -> 铔
3462 -> 4541 : 㑢 -> 䕁
3463 -> 6442 : 㑣 -> 摂
3464 -> 7CC8 : 㑤 -> 糈
3465 -> 9A4C : 㑥 -> 驌
3466 -> 8A91 : 㑦 -> 誑
3467 -> 72D4 : 㑧 -> 狔
3468 -> 3E80 : 㑨 -> 㺀
3469 -> 5368 : 㑩 -> 卨
346A -> 5D58 : 㑪 -> 嵘
346B -> 6F2F : 㑫 -> 漯
346C -> 9C2A : 㑬 -> 鰪
346D -> 9C77 : 㑭 -> 鱷
346E -> 829D : 㑮 -> 芝
346F -> 8751 : 㑯 -> 蝑
3470 -> 6FF3 : 㑰 -> 濳
3471 -> 88A3 : 㑱 -> 袣
3472 -> 9241 : 㑲 -> 鉁
3473 -> 61CF : 㑳 -> 懏
3474 -> 4760 : 㑴 -> 䝠
3475 -> 83CB : 㑵 -> 菋
3476 -> 6081 : 㑶 -> 悁
3477 -> 4B7C : 㑷 -> 䭼
3478 -> 8CF8 : 㑸 -> 賸
3479 -> 763F : 㑹 -> 瘿
347A -> 96F2 : 㑺 -> 雲
347B -> 800C : 㑻 -> 而
347C -> 95B1 : 㑼 -> 閱
347D -> 6F12 : 㑽 -> 漒
347E -> 989E : 㑾 -> 颞
347F -> 3611 : 㑿 -> 㘑
3480 -> 3AE0 : 㒀 -> 㫠
3481 -> 607E : 㒁 -> 恾
3482 -> 3C26 : 㒂 -> 㰦
3483 -> 6F40 : 㒃 -> 潀
3484 -> 425B : 㒄 -> 䉛
3485 -> 532D : 㒅 -> 匭
3486 -> 8868 : 㒆 -> 表
3487 -> 74FD : 㒇 -> 瓽
3488 -> 91D4 : 㒈 -> 釔
3489 -> 5CA5 : 㒉 -> 岥
348A -> 7D83 : 㒊 -> 綃
348B -> 95E5 : 㒋 -> 闥
348C -> 7AE1 : 㒌 -> 竡
348D -> 93CC : 㒍 -> 鏌
348E -> 8116 : 㒎 -> 脖
348F -> 7B3C : 㒏 -> 笼
3490 -> 7E39 : 㒐 -> 縹
3491 -> 7DF0 : 㒑 -> 緰
3492 -> 7F8A : 㒒 -> 羊
3493 -> 7DE8 : 㒓 -> 編
3494 -> 6BE5 : 㒔 -> 毥
3495 -> 7D46 : 㒕 -> 絆
3496 -> 7DB8 : 㒖 -> 綸
3497 -> 3AA9 : 㒗 -> 㪩
3498 -> 9FF3 : 㒘 -> 鿳
3499 -> 4EEE : 㒙 -> 仮
349A -> 9206 : 㒚 -> 鈆
349B -> 4F33 : 㒛 -> 伳
349C -> 556B : 㒜 -> 啫
349D -> 5559 : 㒝 -> 啙
349E -> 9943 : 㒞 -> 饃
349F -> 74D8 : 㒟 -> 瓘
34A0 -> 58F7 : 㒠 -> 壷
34A1 -> 4F49 : 㒡 -> 佉
34A2 -> 5AE4 : 㒢 -> 嫤
34A3 -> 36CB : 㒣 -> 㛋
34A4 -> 84C7 : 㒤 -> 蓇
34A5 -> 9BBF : 㒥 -> 鮿
34A6 -> 5AF0 : 㒦 -> 嫰
34A7 -> 4320 : 㒧 -> 䌠
34A8 -> 554B : 㒨 -> 啋
34A9 -> 61E1 : 㒩 -> 懡
34AA -> 8C94 : 㒪 -> 貔
34AB -> 54C4 : 㒫 -> 哄
34AC -> 8EFC : 㒬 -> 軼
34AD -> 9164 : 㒭 -> 酤
34AE -> 51B0 : 㒮 -> 冰
34AF -> 5FE0 : 㒯 -> 忠
34B0 -> 97C7 : 㒰 -> 韇
34B1 -> 53BC : 㒱 -> 厼
34B2 -> 7DC0 : 㒲 -> 緀
34B3 -> 4B45 : 㒳 -> 䭅
34B4 -> 76D7 : 㒴 -> 盗
34B5 -> 8A24 : 㒵 -> 訤
34B6 -> 7A01 : 㒶 -> 稁
34B7 -> 6C7F : 㒷 -> 汿
34B8 -> 5DB2 : 㒸 -> 嶲
34B9 -> 5602 : 㒹 -> 嘂
34BA -> 92D0 : 㒺 -> 鋐
34BB -> 3559 : 㒻 -> 㕙
34BC -> 7D25 : 㒼 -> 紥
34BD -> 901E : 㒽 -> 逞
34BE -> 3F1B : 㒾 -> 㼛
34BF -> 6E83 : 㒿 -> 溃
34C0 -> 70CB : 㓀 -> 烋
34C1 -> 62A7 : 㓁 -> 抧
34C2 -> 5AAB : 㓂 -> 媫
34C3 -> 922B : 㓃 -> 鈫
34C4 -> 757B : 㓄 -> 畻
34C5 -> 87BB : 㓅 -> 螻
34C6 -> 2E81 : 㓆 -> ⺁
34C7 -> 5E11 : 㓇 -> 帑
34C8 -> 6903 : 㓈 -> 椃
34C9 -> 83F0 : 㓉 -> 菰
34CA -> 73B1 : 㓊 -> 玱
34CB -> 4D92 : 㓋 -> 䶒
34CC -> 6ADA : 㓌 -> 櫚
34CD -> 993B : 㓍 -> 餻
34CE -> 4000 : 㓎 -> 䀀
34CF -> 94DB : 㓏 -> 铛
34D0 -> 9529 : 㓐 -> 锩
34D1 -> 82A5 : 㓑 -> 芥
34D2 -> 8A66 : 㓒 -> 試
34D3 -> 6C1B : 㓓 -> 氛
34D4 -> 4F38 : 㓔 -> 伸
34D5 -> 3AD0 : 㓕 -> 㫐
34D6 -> 85C4 : 㓖 -> 藄
34D7 -> 6B4E : 㓗 -> 歎
34D8 -> 6B0B : 㓘 -> 欋
34D9 -> 622E : 㓙 -> 戮
34DA -> 77B3 : 㓚 -> 瞳
34DB -> 6565 : 㓛 -> 敥
34DC -> 379C : 㓜 -> 㞜
34DD -> 3B50 : 㓝 -> 㭐
34DE -> 42F3 : 㓞 -> 䋳
34DF -> 7769 : 㓟 -> 睩
34E0 -> 59AE : 㓠 -> 妮
34E1 -> 5BCD : 㓡 -> 寍
34E2 -> 956D : 㓢 -> 镭
34E3 -> 9C9D : 㓣 -> 鲝
34E4 -> 6D40 : 㓤 -> 浀
34E5 -> 4C90 : 㓥 -> 䲐
34E6 -> 979A : 㓦 -> 鞚
34E7 -> FF37 : 㓧 -> Ｗ
34E8 -> 587F : 㓨 -> 塿
34E9 -> 3106 : 㓩 -> ㄆ
34EA -> 94F6 : 㓪 -> 银
34EB -> 7210 : 㓫 -> 爐
34EC -> 37DA : 㓬 -> 㟚
34ED -> 8A1C : 㓭 -> 訜
34EE -> 8C1F : 㓮 -> 谟
34EF -> 5350 : 㓯 -> 卐
34F0 -> 79FD : 㓰 -> 秽
34F1 -> 3AAC : 㓱 -> 㪬
34F2 -> 7A07 : 㓲 -> 稇
34F3 -> 9AAB : 㓳 -> 骫
34F4 -> 4C74 : 㓴 -> 䱴
34F5 -> 676C : 㓵 -> 杬
34F6 -> 31D0 : 㓶 -> ㇐
34F7 -> 45DA : 㓷 -> 䗚
34F8 -> 3C2C : 㓸 -> 㰬
34F9 -> 7D66 : 㓹 -> 給
34FA -> 49D0 : 㓺 -> 䧐
34FB -> 357D : 㓻 -> 㕽
34FC -> 6DAA : 㓼 -> 涪
34FD -> 919F : 㓽 -> 醟
34FE -> 422C : 㓾 -> 䈬
34FF -> 4BF7 : 㓿 -> 䯷
3500 -> 463A : 㔀 -> 䘺
3501 -> 36B3 : 㔁 -> 㚳
3502 -> 3DAA : 㔂 -> 㶪
3503 -> 857D : 㔃 -> 蕽
3504 -> 6CF4 : 㔄 -> 泴
3505 -> 9C70 : 㔅 -> 鱰
3506 -> 8595 : 㔆 -> 薕
3507 -> 7DDC : 㔇 -> 緜
3508 -> FA13 : 㔈 -> 﨓
3509 -> 9CAD : 㔉 -> 鲭
350A -> 77F9 : 㔊 -> 矹
350B -> 962B : 㔋 -> 阫
350C -> 2536 : 㔌 -> ┶
350D -> 888A : 㔍 -> 袊
350E -> 412B : 㔎 -> 䄫
350F -> FF4B : 㔏 -> ｋ
3510 -> 4895 : 㔐 -> 䢕
3511 -> 731C : 㔑 -> 猜
3512 -> 4D03 : 㔒 -> 䴃
3513 -> 6F9D : 㔓 -> 澝
3514 -> 9CDC : 㔔 -> 鳜
3515 -> 69D1 : 㔕 -> 槑
3516 -> 7C7B : 㔖 -> 类
3517 -> 41F8 : 㔗 -> 䇸
3518 -> 7C9F : 㔘 -> 粟
3519 -> 9F07 : 㔙 -> 鼇
351A -> E84C : 㔚 -> 
351B -> 472A : 㔛 -> 䜪
351C -> 6462 : 㔜 -> 摢
351D -> 913D : 㔝 -> 鄽
351E -> 406A : 㔞 -> 䁪
351F -> 8A50 : 㔟 -> 詐
3520 -> 9863 : 㔠 -> 顣
3521 -> 9BD5 : 㔡 -> 鯕
3522 -> 8EC4 : 㔢 -> 軄
3523 -> 4FE4 : 㔣 -> 俤
3524 -> 5FB9 : 㔤 -> 徹
3525 -> 9FA9 : 㔥 -> 龩
3526 -> 5E21 : 㔦 -> 帡
3527 -> 7600 : 㔧 -> 瘀
3528 -> 542F : 㔨 -> 启
3529 -> 9A76 : 㔩 -> 驶
352A -> 6DC1 : 㔪 -> 淁
352B -> 56C9 : 㔫 -> 囉
352C -> 7046 : 㔬 -> 灆
352D -> 4FCC : 㔭 -> 俌
352E -> 79AF : 㔮 -> 禯
352F -> 46BD : 㔯 -> 䚽
3530 -> 9063 : 㔰 -> 遣
3531 -> 3B41 : 㔱 -> 㭁
3532 -> 5B62 : 㔲 -> 孢
3533 -> 9903 : 㔳 -> 餃
3534 -> 4BD9 : 㔴 -> 䯙
3535 -> 808E : 㔵 -> 肎
3536 -> 4E9C : 㔶 -> 亜
3537 -> 5613 : 㔷 -> 嘓
3538 -> 35EE : 㔸 -> 㗮
3539 -> 9222 : 㔹 -> 鈢
353A -> 9928 : 㔺 -> 館
353B -> 68C6 : 㔻 -> 棆
353C -> 9111 : 㔼 -> 鄑
353D -> 89E8 : 㔽 -> 觨
353E -> 4400 : 㔾 -> 䐀
353F -> 6202 : 㔿 -> 戂
3540 -> 8F59 : 㕀 -> 轙
3541 -> 7695 : 㕁 -> 皕
3542 -> 756E : 㕂 -> 畮
3543 -> 827F : 㕃 -> 艿
3544 -> 94B0 : 㕄 -> 钰
3545 -> FF3D : 㕅 -> ］
3546 -> 4D67 : 㕆 -> 䵧
3547 -> FF1B : 㕇 -> ；
3548 -> 627D : 㕈 -> 扽
3549 -> 87BD : 㕉 -> 螽
354A -> 409C : 㕊 -> 䂜
354B -> 7AFC : 㕋 -> 竼
354C -> 5F9E : 㕌 -> 從
354D -> 30F5 : 㕍 -> ヵ
354E -> 353F : 㕎 -> 㔿
354F -> 8F2B : 㕏 -> 輫
3550 -> 4A70 : 㕐 -> 䩰
3551 -> 7384 : 㕑 -> 玄
3552 -> 65F1 : 㕒 -> 旱
3553 -> 3D7A : 㕓 -> 㵺
3554 -> 4102 : 㕔 -> 䄂
3555 -> 814B : 㕕 -> 腋
3556 -> 4886 : 㕖 -> 䢆
3557 -> 8C0C : 㕗 -> 谌
3558 -> 4F7F : 㕘 -> 使
3559 -> 3DED : 㕙 -> 㷭
355A -> 8151 : 㕚 -> 腑
355B -> 4BB5 : 㕛 -> 䮵
355C -> 6067 : 㕜 -> 恧
355D -> 3851 : 㕝 -> 㡑
355E -> 9014 : 㕞 -> 途
355F -> 9D04 : 㕟 -> 鴄
3560 -> 3EA7 : 㕠 -> 㺧
3561 -> 834D : 㕡 -> 荍
3562 -> 3D02 : 㕢 -> 㴂
3563 -> 9319 : 㕣 -> 錙
3564 -> 6E71 : 㕤 -> 湱
3565 -> 40B6 : 㕥 -> 䂶
3566 -> 74F9 : 㕦 -> 瓹
3567 -> 34AD : 㕧 -> 㒭
3568 -> 4B77 : 㕨 -> 䭷
3569 -> 5975 : 㕩 -> 奵
356A -> 80A0 : 㕪 -> 肠
356B -> 7866 : 㕫 -> 硦
356C -> 6340 : 㕬 -> 捀
356D -> 4054 : 㕭 -> 䁔
356E -> 7DEA : 㕮 -> 緪
356F -> 80A8 : 㕯 -> 肨
3570 -> 7B48 : 㕰 -> 筈
3571 -> 780A : 㕱 -> 砊
3572 -> 5E37 : 㕲 -> 帷
3573 -> 7C0F : 㕳 -> 簏
3574 -> 4184 : 㕴 -> 䆄
3575 -> 6CDE : 㕵 -> 泞
3576 -> 48C3 : 㕶 -> 䣃
3577 -> 76AE : 㕷 -> 皮
3578 -> 491A : 㕸 -> 䤚
3579 -> 756C : 㕹 -> 畬
357A -> 55E9 : 㕺 -> 嗩
357B -> 469B : 㕻 -> 䚛
357C -> E78F : 㕼 -> 
357D -> 9BCE : 㕽 -> 鯎
357E -> 84EA : 㕾 -> 蓪
357F -> 61D3 : 㕿 -> 懓
3580 -> 8160 : 㖀 -> 腠
3581 -> 7A57 : 㖁 -> 穗
3582 -> 75C3 : 㖂 -> 痃
3583 -> 359C : 㖃 -> 㖜
3584 -> 795C : 㖄 -> 祜
